Actividad,Precio (Por persona),Confirmacion Inmediata,Cancelacion Gratuita,Valoracion,Nº Opiniones,Link,Fecha consulta
Entradas para el parque zoológico de París,25,Si,Cancelación gratuita,4.5,11935,https://www.hellotickets.es/francia/paris/entradas-zoo/a/pa-1721,2024-10-19 21:02:30.588319
Crucero por el río Sena con champán,33,,Cancelación gratuita,4.7,11777,https://www.hellotickets.es/francia/paris/crucero-sena-champan/a/pa-550,2024-10-19 21:02:30.588319
Entradas para el Museo quai Branly - Jacques Chirac en París,14,Si,No,4.9,11728,https://www.hellotickets.es/francia/paris/entradas-museo-quai-branly/a/pa-1731,2024-10-19 21:02:30.588319
Entradas para el Museo Rodin en París,18,Si,No,4.9,11367,https://www.hellotickets.es/francia/paris/entradas-museo-rodin/a/pa-1719,2024-10-19 21:02:30.588319
Entradas para el Centro Pompidou en París,17,Si,Cancelación gratuita,4.4,10502,https://www.hellotickets.es/francia/paris/entradas-pompidou/a/pa-1720,2024-10-19 21:02:30.588319
Entradas para el Moulin Rouge con cena,278,,No,4.5,10259,https://www.hellotickets.es/francia/paris/entradas-moulin-rouge/a/pa-556,2024-10-19 21:02:30.588319
Crucero por el río Sena con almuerzo y música en directo,75,Si,Cancelación gratuita,4.9,10062,https://www.hellotickets.es/francia/paris/crucero-sena-con-almuerzo/a/pa-552,2024-10-19 21:02:30.588319
Entradas para el Cabaret Crazy Horse en París,119,Si,Cancelación gratuita,4.6,9585,https://www.hellotickets.es/francia/paris/entradas-cabaret-crazy-horse/a/pa-1716,2024-10-19 21:02:30.588319
Entradas para el Museo de Cera Grevin de París,31,Si,No,4.9,9240,https://www.hellotickets.es/francia/paris/entradas-museo-cera-grevin-paris/a/pa-558,2024-10-19 21:02:30.588319
Tour por el cementerio Père-Lachaise de París,52,Si,Cancelación gratuita,4.5,9020,https://www.hellotickets.es/francia/paris/tour-cementerio-pere-lachaise/a/pa-633,2024-10-19 21:02:30.588319
Autobús turístico Toot de París,49,,Cancelación gratuita,4.8,7610,https://www.hellotickets.es/francia/paris/autobus-turistico-toot/a/pa-547,2024-10-19 21:02:30.588319
Crucero por el Sena y entradas para el Moulin Rouge con champán,200,,Cancelación gratuita,4.7,7081,https://www.hellotickets.es/francia/paris/crucero-sena-y-entradas-mouling-rouge-con-champan/a/pa-553,2024-10-19 21:02:30.588319
Entradas para el Museo Marmottan Monet en París,16,Si,Cancelación gratuita,4.7,6755,https://www.hellotickets.es/francia/paris/entradas-museo-marmottan-monet/a/pa-1729,2024-10-19 21:02:30.588319
Paris Pass,189,,Cancelación gratuita,4.3,5015,https://www.hellotickets.es/francia/paris/paris-pass/a/pa-614,2024-10-19 21:02:30.588319
Entradas para el Aquarium de Paris,26,Si,Cancelación gratuita,4.8,4255,https://www.hellotickets.es/francia/paris/entradas-aquarium/a/pa-1748,2024-10-19 21:02:30.588319
Entradas para el Panteón de París,16,Si,Cancelación gratuita,4.7,3803,https://www.hellotickets.es/francia/paris/entradas-panteon/a/pa-1723,2024-10-19 21:02:30.588319
Visita guiada a la Torre Eiffel,39,,Cancelación gratuita,4.5,4482,https://www.hellotickets.es/francia/paris/visita-guiada-torre-eiffel/a/pa-588,2024-10-19 21:02:30.588319
Entradas para la basílica de Saint-Denis en París,13,Si,Cancelación gratuita,4.9,3238,https://www.hellotickets.es/francia/paris/entradas-basilica-saint-denis/a/pa-2242,2024-10-19 21:02:30.588319
Autobús turístico Big Bus de París,39,Si,Cancelación gratuita,4.6,2925,https://www.hellotickets.es/francia/paris/autobus-turistico-big-bus/a/pa-546,2024-10-19 21:02:30.588319
Entradas para Le Grand Rex Studios de París,12,Si,Cancelación gratuita,4.7,2957,https://www.hellotickets.es/francia/paris/entradas-grand-rex-studios/a/pa-1717,2024-10-19 21:02:30.588319
Traslado privado desde el centro a todos los aeropuertos de París,52,,Cancelación gratuita,4.3,2812,https://www.hellotickets.es/francia/paris/traslado-privado-centro-aeropuertos/a/pa-583,2024-10-19 21:02:30.588319
Entradas nocturnas para la Torre Eiffel de París y tour panorámico en autobús,82,Si,Cancelación gratuita,4.5,2455,https://www.hellotickets.es/francia/paris/entradas-torre-eiffel-noche/a/pa-1745,2024-10-19 21:02:30.588319
Visita guiada al Stade de France en París,19,,Cancelación gratuita,4.5,1931,https://www.hellotickets.es/francia/paris/visita-guiada-stade-de-france/a/pa-596,2024-10-19 21:02:30.588319
Visita guiada privada al Museo del Louvre para niños,221,,Cancelación gratuita,4.5,1538,https://www.hellotickets.es/francia/paris/visita-guiada-museo-louvre-para-ninos/a/pa-600,2024-10-19 21:02:30.588319
Tour en bicicleta por París,27,,Cancelación gratuita,4.3,1501,https://www.hellotickets.es/francia/paris/tour-bicicleta/a/pa-622,2024-10-19 21:02:30.588319
Autobús turístico nocturno Big Bus de París,31,,Cancelación gratuita,4.3,1378,https://www.hellotickets.es/francia/paris/autobus-turistico-nocturno-big-bus/a/pa-545,2024-10-19 21:02:30.588319
Tour por las pastelerías de París,100,,Cancelación gratuita,4.4,1262,https://www.hellotickets.es/francia/paris/tour-pastelerias/a/pa-636,2024-10-19 21:02:30.588319
Entradas sin colas para la Torre Eiffel y crucero por el Sena opcional,26,,No,4.3,1149,https://www.hellotickets.es/francia/paris/entradas-torre-eiffel-y-crucero-sena/a/pa-567,2024-10-19 21:02:30.588319
Entradas para el Louvre con itinerario de arte y cultura pop y minitour a pie,68,,Cancelación gratuita,4.6,778,https://www.hellotickets.es/francia/paris/entradas-louvre-arte-cultura-pop/a/pa-9331,2024-10-19 21:02:30.588319
Tour por la Isla de la Cité de París con entradas para la Sainte Chapelle y la Conciergerie,46,,Cancelación gratuita,4.9,777,https://www.hellotickets.es/francia/paris/tour-isla-cite-entradas-sainte-chapelle-conciergerie/a/pa-9003,2024-10-19 21:02:30.588319
Tour de cine y televisión del siglo XX por la margen izquierda de París,48,,Cancelación gratuita,4.6,777,https://www.hellotickets.es/francia/paris/tour-cine-television/a/pa-9002,2024-10-19 21:02:30.588319
Tour guiado por París con visita a Los Inválidos y la tumba de Napoleón,45,,Cancelación gratuita,4.7,777,https://www.hellotickets.es/francia/paris/tour-guiado-visita-invalidos/a/pa-9000,2024-10-19 21:02:30.588319
Paris Museum Pass,90,Si,Cancelación gratuita,4.9,786,https://www.hellotickets.es/francia/paris/museum-pass/a/pa-8665,2024-10-19 21:02:30.588319
Entradas para el Museo de Orsay de París con audioguía,39,Si,Cancelación gratuita,4.6,783,https://www.hellotickets.es/francia/paris/entradas-museo-orsay-audioguia/a/pa-8243,2024-10-19 21:02:30.588319
Paris Explorer Pass,95,,Cancelación gratuita,4.9,778,https://www.hellotickets.es/francia/paris/paris-explorer-pass/a/pa-8156,2024-10-19 21:02:30.588319
Visita guiada a la Sainte Chapelle en París,66,Si,Cancelación gratuita,4.6,777,https://www.hellotickets.es/francia/paris/visita-guiada-sainte-chapelle/a/pa-6906,2024-10-19 21:02:30.588319
Excursión al Monte Saint-Michel desde París con visita a la abadía,171,Si,No,4.6,778,https://www.hellotickets.es/francia/paris/excursion-monte-saint-michel-visita-abadia/a/pa-6874,2024-10-19 21:02:30.588319
Visita guiada al Centro Pompidou en París,122,Si,Cancelación gratuita,4.8,777,https://www.hellotickets.es/francia/paris/visita-guiada-pompidou/a/pa-6873,2024-10-19 21:02:30.588319
Tour privado sobre arte en París,80,Si,Cancelación gratuita,4.7,777,https://www.hellotickets.es/francia/paris/tour-arte/a/pa-6872,2024-10-19 21:02:30.588319
Visita guiada privada a la Ópera Garnier de París,304,Si,No,4.6,778,https://www.hellotickets.es/francia/paris/visita-guiada-privada-opera-garnier/a/pa-6871,2024-10-19 21:02:30.588319
Tour gastronómico por París,127,Si,Cancelación gratuita,4.9,778,https://www.hellotickets.es/francia/paris/tour-gastronomico/a/pa-6870,2024-10-19 21:02:30.588319
Tour gastronómico privado por París,118,,Cancelación gratuita,4.7,778,https://www.hellotickets.es/francia/paris/tour-gastronomico-privado/a/pa-6869,2024-10-19 21:02:30.588319
Excursión a Vaux le Vicomte y Fontainebleau desde París,189,,Cancelación gratuita,4.6,778,https://www.hellotickets.es/francia/paris/excursion-vaux-vicomte-fointainbleau/a/pa-6868,2024-10-19 21:02:30.588319
Tour en segway en Château de Vincennes en París,62,Si,Cancelación gratuita,4.8,778,https://www.hellotickets.es/francia/paris/tour-segway-chateau-vincennes/a/pa-6867,2024-10-19 21:02:30.588319
"Excursión a Veuve Clicquot, Pommery y Moët et Chandon desde París",617,Si,Cancelación gratuita,4.7,777,https://www.hellotickets.es/francia/paris/excursion-veuve-clicquot-pommery-moet-chandon/a/pa-6866,2024-10-19 21:02:30.588319
Excursión a Valle del Loira desde París con cata de vino,117,Si,Cancelación gratuita,4.6,781,https://www.hellotickets.es/francia/paris/excursion-valle-loira/a/pa-6865,2024-10-19 21:02:30.588319
Visita guiada privada al Arco del Triunfo en París,155,Si,Cancelación gratuita,4.6,778,https://www.hellotickets.es/francia/paris/visita-guiada-privada-arco-triunfo/a/pa-6862,2024-10-19 21:02:30.588319
Tour guiado por París con entradas para el Arco del Triunfo,50,Si,Cancelación gratuita,4.8,778,https://www.hellotickets.es/francia/paris/tour-guiado-entradas-arco-triunfo/a/pa-6861,2024-10-19 21:02:30.588319
Entradas para el Arco del Triunfo en París y crucero por el río Sena,42,Si,No,4.7,790,https://www.hellotickets.es/francia/paris/entradas-arco-triunfo-crucero-sena/a/pa-6860,2024-10-19 21:02:30.588319
Excursión de 2 días a Normandía desde París,565,,Cancelación gratuita,4.7,777,https://www.hellotickets.es/francia/paris/excursion-2-dias-normandia/a/pa-6857,2024-10-19 21:02:30.588319
"Excursión a Normandía desde París con tour por las playas del desembarco, cata de sidra y almuerzo",126,,Cancelación gratuita,4.6,782,https://www.hellotickets.es/francia/paris/excursion-normandia-almuerzo/a/pa-6856,2024-10-19 21:02:30.588319
Visita guiada privada al Museo de la Orangerie de París,249,Si,Cancelación gratuita,4.8,777,https://www.hellotickets.es/francia/paris/visita-guiada-privada-museo-orangerie/a/pa-6855,2024-10-19 21:02:30.588319
"Oferta París: crucero con cena por el río Sena, acceso a la Torre Eiffel y entradas para el Moulin Rouge",360,Si,Cancelación gratuita,4.7,783,https://www.hellotickets.es/francia/paris/crucero-cena-torre-eiffel-moulin-rouge/a/pa-6854,2024-10-19 21:02:30.588319
Entradas para el Moulin Rouge con cena y transporte,331,Si,Cancelación gratuita,4.6,790,https://www.hellotickets.es/francia/paris/entradas-moulin-rouge-cena-transporte/a/pa-6853,2024-10-19 21:02:30.588319
Cena en el Madame Brasserie en la Torre Eiffel,157,Si,Cancelación gratuita,4.7,790,https://www.hellotickets.es/francia/paris/cena-madame-brasserie/a/pa-6851,2024-10-19 21:02:30.588319
Almuerzo en el Madame Brasserie en la Torre Eiffel y crucero por el río Sena,170,Si,No,4.6,781,https://www.hellotickets.es/francia/paris/almuerzo-madame-brasserie/a/pa-6850,2024-10-19 21:02:30.588319
Visita guiada a las Catacumbas de Paris para grupos pequeños,160,Si,Cancelación gratuita,4.7,777,https://www.hellotickets.es/francia/paris/visita-guiada-catacumbas/a/pa-6848,2024-10-19 21:02:30.588319
Visita guiada a las Catacumbas de Paris con acceso especial,117,Si,Cancelación gratuita,4.6,778,https://www.hellotickets.es/francia/paris/visita-guiada-catacumbas-acceso-especial/a/pa-6847,2024-10-19 21:02:30.588319
Entradas para el Cabaret Madame Arthur en París,50,Si,No,4.8,783,https://www.hellotickets.es/francia/paris/entradas-cabaret-madame-arthur/a/pa-6846,2024-10-19 21:02:30.588319
Cata de vinos y champán en una bodega de París,78,Si,Cancelación gratuita,4.7,777,https://www.hellotickets.es/francia/paris/cata-vinos-champan/a/pa-6845,2024-10-19 21:02:30.588319
Tour gastronómico y vinícola por Montmartre en París,109,Si,Cancelación gratuita,4.6,779,https://www.hellotickets.es/francia/paris/tour-gastronomico-vino-montmartre/a/pa-6844,2024-10-19 21:02:30.588319
Traslado privado a Disneyland Paris,50,,Cancelación gratuita,4.7,782,https://www.hellotickets.es/francia/paris/traslado-privado-disneyland-paris/a/pa-6842,2024-10-19 21:02:30.588319
Traslado privado de ida y vuelta a los aeropuertos de París,44,,Cancelación gratuita,4.6,777,https://www.hellotickets.es/francia/paris/traslado-privado-ida-vuelta-aeropuertos/a/pa-6841,2024-10-19 21:02:30.588319
"Tour privado por Notre Dame, la Isla de la Cité y el barrio latino de París",96,Si,Cancelación gratuita,4.8,779,https://www.hellotickets.es/francia/paris/tour-privado-notre-dame/a/pa-6840,2024-10-19 21:02:30.588319
Tour por el exterior de Notre Dame con entrada a la cripta,37,Si,Cancelación gratuita,4.7,780,https://www.hellotickets.es/francia/paris/tour-notre-dame-entrada-cripta/a/pa-6839,2024-10-19 21:02:30.588319
Tour en bicicleta por lo más destacado de París,45,Si,Cancelación gratuita,4.9,777,https://www.hellotickets.es/francia/paris/tour-bicicleta-destacado/a/pa-6837,2024-10-19 21:02:30.588319
Tour en bicicleta por París para grupos pequeños,42,Si,Cancelación gratuita,4.6,779,https://www.hellotickets.es/francia/paris/tour-bicicleta-grupos-pequenos/a/pa-6836,2024-10-19 21:02:30.588319
Tour en bicicleta por la París oculta,48,,Cancelación gratuita,4.7,778,https://www.hellotickets.es/francia/paris/tour-bicicleta-paris-oculta/a/pa-6835,2024-10-19 21:02:30.588319
Tour nocturno en autobús por París,34,Si,Cancelación gratuita,4.6,780,https://www.hellotickets.es/francia/paris/tour-nocturno-autobus/a/pa-6834,2024-10-19 21:02:30.588319
Autobús turístico nocturno Toot de París,29,Si,Cancelación gratuita,4.8,778,https://www.hellotickets.es/francia/paris/autobus-turistico-nocturno-toot/a/pa-6833,2024-10-19 21:02:30.588319
Excursión a Versalles desde París con visita guiada al Palacio y los jardines,69,Si,Cancelación gratuita,4.6,794,https://www.hellotickets.es/francia/paris/excursion-versalles-palacio-jardines/a/pa-6831,2024-10-19 21:02:30.588319
Excursión a Versalles y Giverny desde París,242,,Cancelación gratuita,4.9,777,https://www.hellotickets.es/francia/paris/excursion-versalles-giverny/a/pa-6830,2024-10-19 21:02:30.588319
Excursión a Versalles desde París con tour en bicicleta,67,,Cancelación gratuita,4.7,780,https://www.hellotickets.es/francia/paris/excursion-versalles-tour-bicicleta/a/pa-6829,2024-10-19 21:02:30.588319
Traslados de ida y vuelta a Versalles desde París,35,Si,Cancelación gratuita,4.6,781,https://www.hellotickets.es/francia/paris/traslados-versalles/a/pa-6828,2024-10-19 21:02:30.588319
Entradas para el Palacio de Versalles con transporte desde París,89,Si,Cancelación gratuita,4.7,814,https://www.hellotickets.es/francia/paris/entradas-palacio-versalles-transporte-paris/a/pa-6826,2024-10-19 21:02:30.588319
Entradas con acceso prioritario para el Museo del Louvre,65,Si,Cancelación gratuita,4.6,1020,https://www.hellotickets.es/francia/paris/entradas-museo-louvre-acceso-prioritario/a/pa-6825,2024-10-19 21:02:30.588319
Visita guiada privada al Museo del Louvre con entradas de acceso prioritario,249,Si,Cancelación gratuita,4.9,778,https://www.hellotickets.es/francia/paris/visita-guiada-privada-museo-louvre-entradas/a/pa-6824,2024-10-19 21:02:30.588319
Visita guiada privada al Museo del Louvre,125,Si,Cancelación gratuita,4.7,787,https://www.hellotickets.es/francia/paris/visita-guiada-privada-louvre/a/pa-6823,2024-10-19 21:02:30.588319
Crucero con cena por el río Sena,61,,Cancelación gratuita,4.7,1578,https://www.hellotickets.es/francia/paris/crucero-cena-sena/a/pa-6820,2024-10-19 21:02:30.588319
Crucero panorámico por el río Sena,21,Si,Cancelación gratuita,4.6,811,https://www.hellotickets.es/francia/paris/crucero-panoramico-sena/a/pa-6819,2024-10-19 21:02:30.588319
Crucero con cena por el río Sena con música en vivo,121,,Cancelación gratuita,4.6,806,https://www.hellotickets.es/francia/paris/crucero-cena-musica/a/pa-6817,2024-10-19 21:02:30.588319
Crucero con cena gourmet por el río Sena,125,,Cancelación gratuita,4.7,804,https://www.hellotickets.es/francia/paris/crucero-cena-gourmet/a/pa-6816,2024-10-19 21:02:30.588319
Entradas para el segundo piso de la Torre Eiffel con acceso opcional a la cima,54,Si,No,4.6,815,https://www.hellotickets.es/francia/paris/entradas-segundo-piso-torre-eiffel/a/pa-6815,2024-10-19 21:02:30.588319
Visita guiada para grupos pequeños a la cima de la Torre Eiffel con subida en ascensor,140,Si,Cancelación gratuita,4.8,777,https://www.hellotickets.es/francia/paris/visita-guiada-cima-torre-eiffel-grupos-pequenos/a/pa-6814,2024-10-19 21:02:30.588319
Visita guiada a la Torre Eiffel con subida en ascensor para grupos pequeños,44,Si,No,4.7,801,https://www.hellotickets.es/francia/paris/visita-guiada-torre-eiffel-grupos-pequenos/a/pa-6813,2024-10-19 21:02:30.588319
Visita guiada a la Torre Eiffel con subida en ascensor,46,Si,Cancelación gratuita,4.9,777,https://www.hellotickets.es/francia/paris/visita-guiada-torre-eiffel-ascensor/a/pa-6811,2024-10-19 21:02:30.588319
Entradas para el zoosafari de Thoiry,32,Si,Cancelación gratuita,4.7,780,https://www.hellotickets.es/francia/paris/entradas-zoosafari/a/pa-5764,2024-10-19 21:02:30.588319
Entradas para el zoo del Jardín de las Plantas de París,13,Si,Cancelación gratuita,4.8,822,https://www.hellotickets.es/francia/paris/entradas-zoo-jardin-plantas/a/pa-5759,2024-10-19 21:02:30.588319
Entradas para el Museo del Hombres de París,15,Si,Cancelación gratuita,4.7,785,https://www.hellotickets.es/francia/paris/entradas-museo-hombre/a/pa-5758,2024-10-19 21:02:30.588319
Entradas para L'Atelier des Lumières en París,17,Si,No,4.9,798,https://www.hellotickets.es/francia/paris/entradas-atelier-lumieres/a/pa-5757,2024-10-19 21:02:30.588319
Entradas con audioguía para el Hotel de la Marine en París,17,Si,Cancelación gratuita,4.8,781,https://www.hellotickets.es/francia/paris/entradas-hotel-marine-audioguia/a/pa-5756,2024-10-19 21:02:30.588319
Entradas para la Conciergerie de París,13,Si,Cancelación gratuita,4.6,796,https://www.hellotickets.es/francia/paris/entradas-conciergerie/a/pa-5754,2024-10-19 21:02:30.588319
Entradas para la Cité de l'architecture et du patrimoine de París,9,Si,Cancelación gratuita,4.8,778,https://www.hellotickets.es/francia/paris/entradas-cite-architecture-patrimoine/a/pa-5753,2024-10-19 21:02:30.588319
Entradas con horario para la Bourse Commerce - Pinault Collection de París,15,Si,Cancelación gratuita,4.7,800,https://www.hellotickets.es/francia/paris/entradas-pinault-collection-con-horario/a/pa-5752,2024-10-19 21:02:30.588319
Entradas para el Museo de la Gran Guerra de Meaux,10,Si,No,4.9,778,https://www.hellotickets.es/francia/paris/entradas-museo-gran-guerra-meaux/a/pa-5748,2024-10-19 21:02:30.588319
Entradas para Parrot World en Crécy-la-Chapelle,18,Si,No,4.6,789,https://www.hellotickets.es/francia/paris/entradas-parrot-world/a/pa-5623,2024-10-19 21:02:30.588319
Reserva para cena en el Madame Brasserie en la Torre Eiffel,130,Si,Cancelación gratuita,4.8,869,https://www.hellotickets.es/francia/paris/reserva-cena-madame-brasserie/a/pa-5418,2024-10-19 21:02:30.588319
Entradas para Paradox Museum París,29,Si,Cancelación gratuita,4.6,802,https://www.hellotickets.es/francia/paris/entradas-paradox-museum/a/pa-5377,2024-10-19 21:02:30.588319
Entradas para Aquaboulevard en París,37,Si,Cancelación gratuita,4.7,793,https://www.hellotickets.es/francia/paris/entradas-aquaboulevard/a/pa-5106,2024-10-19 21:02:30.588319
Entradas Liberty Pass para el Jardin d'Acclimatation de París,46,Si,No,4.7,784,https://www.hellotickets.es/francia/paris/entradas-jardin-acclimatation/a/pa-4694,2024-10-19 21:02:30.588319
Entradas para la Gran Galería de la Evolución de París,13,Si,Cancelación gratuita,4.6,816,https://www.hellotickets.es/francia/paris/entradas-gran-galeria-evolucion/a/pa-4693,2024-10-19 21:02:30.588319
Entradas para el Château de Vincennes de París,13,Si,Cancelación gratuita,4.6,786,https://www.hellotickets.es/francia/paris/entradas-chateau-vincennes/a/pa-4692,2024-10-19 21:02:30.588319
